When Born,Albert Einstein was born on 14 March 1879.
Where born,"He was born in Ulm, Germany."
When Die,"He died 18 April 1955 in Princeton, New Jersey, USA."
Parents,His father was Hermann Einstein and his mother was Pauline Einstein (born Koch).
sisters and brothers,He had one sister named Maja.
siblings,He had one sister named Maja.
marry children,"He was married to Mileva MariÄ‡ between 1903 and 1919. They had three children, Lieserl (born 1902), Hans Albert (born 1904) and Eduard (born 1910). He married Elsa LÃ¶wenthal in 1919 and they lived together until her death in 1936."
education,"He received his main education at the following schools:
Catholic elementary school in Munich, Germany (1885-1888)
Luitpold Gymnasium in Munich, Germany (1888-1894)
Cantonal school in Aarau, Switzerland (1895-1896)
Swiss Federal Institute of Technology in Zurich, Switzerland (1896-1900)
Ph.D. from Zurich University, Switzerland (1905)"
when noble prize,"The Nobel Prize Awarding Institution, the Royal Swedish Academy of Sciences, decided to reserve the Nobel Prize in Physics in 1921, and therefore no Physics Prize was awarded that year. According to the statutes, a reserved prize can be awarded the year after, and Albert Einstein was awarded the 1921 Nobel Prize in Physics in 1922."
Award Ceremony Attend,"The Nobel Prize was announced on 9 November 1922. Being too remote from Sweden, Albert Einstein could not attend the Nobel Prize Award Ceremony in Stockholm on 10 December the same year."
what noble prize,"Einstein was rewarded for his many contributions to theoretical physics, and especially for his discovery of the law of the photoelectric effect."
why noble prize,"Einstein was rewarded for his many contributions to theoretical physics, and especially for his discovery of the law of the photoelectric effect."
photoelectric effect,"The photoelectric effect is a phenomenon in which electrons are emitted from the surface of matter (usually metals) when light shines upon it. Einstein explained the effect by proposing that light consists of small particles, or quanta, called photons, which carry energy that is proportional to the frequency of light. The electrons in the matter that absorb the energy of the photon get ejected. These findings were published in 1905 in the paper “On a Heuristic Viewpoint Concerning the Production and Transformation of Light”. Einstein’s observations that the photoelectric effect could only be explained if light behaves like a particle, not a wave, was instrumental in establishing the hypothesis that light can behave both like a wave and a particle."
practical application,"The photoelectric effect is very important for our daily life. It is the basis for photosynthesis, which is like a very effective solar cell where sunlight is absorbed by plants to make them grow. The effect also forms the basis for a variety of devices such as photodiodes, which are used in light detection within fibre optics, telecommunications networks, solar cells, imaging and many other applications."
When Nobel Lecture,"He gave his Nobel Lecture on 11 July 1923 in Gothenburg, Sweden."
other scientific ,"Albert Einstein is one of the most influential physicists in the 20th century. In 1905 Einstein published four landmark papers in physics – on the photoelectric effect, Brownian motion, the special theory of relativity and equivalence of matter and energy (E=mc2). The year 2005 was named the “World Year of Physics” in recognition of the 100th anniversary of Einstein’s publications. Einstein is also well known for his general relativity theory published 1915 that complements his special relativity theory of 1905."
What Die,"The aneurysm, an enlargement of the abdominal artery filled with blood, which had been diagnosed earlier, had burst. He bled to death internally."
Why Die,"The aneurysm, an enlargement of the abdominal artery filled with blood, which had been diagnosed earlier, had burst. He bled to death internally."
brain removed,"Yes! The pathologist, who did this without permission, was Dr. Thomas S. Harvey. The autopsy was carried out few hours after Einstein’s death. As the bereaved learned about it they gave their belated approval to take out and scientifically examine Einstein’s brain."
autospy,"Yes! The pathologist, who did this without permission, was Dr. Thomas S. Harvey. The autopsy was carried out few hours after Einstein’s death. As the bereaved learned about it they gave their belated approval to take out and scientifically examine Einstein’s brain."
buried,There is no grave. According to Einstein’s wish his body was burned on the same day and the ashes were scattered after a simple ceremony at an unknown place.
last will,"Yes! It was signed by him on March 18, 1950. His secretary Helen Dukas and Dr. Otto Nathan were inserted as administrators of his will. The heirs were among others his step daughter Margot and his two sons Hans Albert and Eduard. His whole written property was given to the Hebrew University in Jerusalem, where it is still to be seen today, in the Albert Einstein Archives."
where childhood,"He spent his childhood in Ulm from his birth in March 1879 until June 1880 and in Munich from June 1880 until December 1894. As a 15-year-old he followed his family to Milan (Italy), where his family had settled in the meantime."
like to play child,"Maja, Albert Einstein’s sister, reports in „Albert Einstein - Beitrag für sein Lebensbild“ (Albert Einstein – Contribution for his biography), that her brother very much liked to play with ""puzzles, jigsaw works, building complex constructions with a construction kit"". He liked best building houses of cards, which he was able to build up to 14 stories high as a ten-year-old. He was less interested in wild and sportive games with other children. With increasing age he began to read very much and very concentrated."
quick temper child,"Young Albert had a quick temper, however, it vanished during his first school years. Albert’s sister Maja reports in Albert Einstein - Beitrag für sein Lebensbild (Albert Einstein – Contribution for his biography) the following: ""In such moments his face became all yellow, however, the tip of his nose became snow-white, and he was no longer under control. At such an opportunity he once grabbed a chair and threw it after his teacher, who was so terrified, that she ran away and never came back again. His little sister was once thrown a big skittles ball on the head and a third time a children’s pick served as a device for, hitting somebody on the head."""
